"Registrirano brezposelne osebe glede na trajanje brezposelnosti po:"
"LETO, KOHEZIJSKA / STATISTIÈNA REGIJA , MERITVE"

"2010"
" ";"SLOVENIJA"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27316
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4695
" ";"Jugovzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";57094
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";9224
" ";"Primorsko-notranjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";21367
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";2893
" ";"Zahodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";387359
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";49227
" ";"Osrednjeslovenska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";217145
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";28899
" ";"Gorenjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";81155
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";8549
" ";"Goriška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";45173
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5722
" ";"Obalno-kraška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";43886
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";6056
"2015"
" ";"SLOVENIJA"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";804637
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";112726
" ";"Vzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";417469
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";66853
" ";"Pomurska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";39600
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";9233
" ";"Podravska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";119587
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";18828
" ";"Koroška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27048
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3517
" ";"Savinjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";100482
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";15361
" ";"Zasavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";22013
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3956
" ";"Posavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";29662
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4658
" ";"Jugovzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";57571
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";8613
" ";"Primorsko-notranjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";21507
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";2686
" ";"Zahodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";387168
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";45147
" ";"Osrednjeslovenska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";214873
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";26664
" ";"Gorenjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";82235
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";7751
" ";"Goriška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";45571
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5206
" ";"Obalno-kraška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";44489
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5525
"2016"
" ";"SLOVENIJA"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";817209
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";103152
" ";"Vzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";420715
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";61325
" ";"Pomurska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";39523
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";8300
" ";"Podravska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";120013
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";17149
" ";"Koroška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27014
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3219
" ";"Savinjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";101920
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";14479
" ";"Zasavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";22246
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3585
" ";"Posavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";29828
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4382
" ";"Jugovzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";58415
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";7754
" ";"Primorsko-notranjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";21757
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";2457
" ";"Zahodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";396494
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";41291
" ";"Osrednjeslovenska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";220847
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";24845
" ";"Gorenjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";83789
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";6920
" ";"Goriška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";46335
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4408
" ";"Obalno-kraška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";45523
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5119

"Zaradi zaokroževanja na cela števila se vsote ne ujemajo vedno."

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8138 "
"target=_blank) Metodološka pojasnila"

"Vir: Statistièni urad Republike Slovenije."

