"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

"2007/08"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";8799
" ";" ";" ";"Deèki";4487
" ";" ";" ";"Deklice";4312
"2017/18"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";179230
" ";" ";" ";"Deèki";91691
" ";" ";" ";"Deklice";87539
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8892
" ";" ";" ";"Deèki";4464
" ";" ";" ";"Deklice";4428
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";25513
" ";" ";" ";"Deèki";12950
" ";" ";" ";"Deklice";12563
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5937
" ";" ";" ";"Deèki";3001
" ";" ";" ";"Deklice";2936
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";22481
" ";" ";" ";"Deèki";11541
" ";" ";" ";"Deklice";10940
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";4600
" ";" ";" ";"Deèki";2363
" ";" ";" ";"Deklice";2237
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";6382
" ";" ";" ";"Deèki";3203
" ";" ";" ";"Deklice";3179
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";12980
" ";" ";" ";"Deèki";6691
" ";" ";" ";"Deklice";6289
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";49645
" ";" ";" ";"Deèki";25539
" ";" ";" ";"Deklice";24106
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";18957
" ";" ";" ";"Deèki";9718
" ";" ";" ";"Deklice";9239
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4658
" ";" ";" ";"Deèki";2360
" ";" ";" ";"Deklice";2298
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";10033
" ";" ";" ";"Deèki";5168
" ";" ";" ";"Deklice";4865
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";9152
" ";" ";" ";"Deèki";4693
" ";" ";" ";"Deklice";4459

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=9586"
"target=_blank) Metodološka pojasnila"

