"Študenti terciarnega izobraževanja po: ŠTUDIJSKO LETO, STATISTIÈNA"
"REGIJA, VRSTA IZOBRAŽEVANJA , SPOL"

"2007/08"
" ";"SLOVENIJA"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";376
" ";" ";" ";"Ženske";393
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";83
" ";" ";" ";"Ženske";198
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";79
" ";" ";" ";"Ženske";170
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";373
" ";" ";" ";"Ženske";677
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";-
" ";" ";" ";"Ženske";5
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";24
" ";" ";" ";"Ženske";51
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";10
" ";" ";" ";"Ženske";14
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";38
" ";" ";" ";"Ženske";58
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";11
" ";" ";" ";"Ženske";11
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";2
" ";" ";" ";"Ženske";4
" ";"Goriška"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";449
" ";" ";" ";"Ženske";329
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";890
" ";" ";" ";"Ženske";793
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";241
" ";" ";" ";"Ženske";430
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";238
" ";" ";" ";"Ženske";494
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";981
" ";" ";" ";"Ženske";1710
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";6
" ";" ";" ";"Ženske";9
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";84
" ";" ";" ";"Ženske";113
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";19
" ";" ";" ";"Ženske";19
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";100
" ";" ";" ";"Ženske";135
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";29
" ";" ";" ";"Ženske";29
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";4
" ";" ";" ";"Ženske";6
" ";"Obalno-kraška"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";265
" ";" ";" ";"Ženske";253
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";671
" ";" ";" ";"Ženske";611
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";243
" ";" ";" ";"Ženske";402
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";248
" ";" ";" ";"Ženske";427
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";734
" ";" ";" ";"Ženske";1188
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";8
" ";" ";" ";"Ženske";5
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";70
" ";" ";" ";"Ženske";95
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";46
