"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
" ";" ";"Obalno-kraška";7249;3720;3529
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";167890;86333;81557
" ";" ";"Pomurska";9813;4924;4889
" ";" ";"Podravska";25067;12869;12198
" ";" ";"Koroška";6431;3304;3127
" ";" ";"Savinjska";22470;11765;10705
" ";" ";"Zasavska";3530;1802;1728
" ";" ";"Posavska";5850;3065;2785
" ";" ";"Jugovzhodna Slovenija";12994;6616;6378
" ";" ";"Osrednjeslovenska";42785;22053;20732
" ";" ";"Gorenjska";17778;9158;8620
" ";" ";"Primorsko-notranjska";4187;2135;2052
" ";" ";"Goriška";9790;4957;4833
" ";" ";"Obalno-kraška";7195;3685;3510
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1709;1095;614
" ";" ";"Pomurska";114;72;42
" ";" ";"Podravska";268;170;98
" ";" ";"Koroška";63;43;20
" ";" ";"Savinjska";218;133;85
" ";" ";"Zasavska";63;37;26
" ";" ";"Posavska";49;24;25
" ";" ";"Jugovzhodna Slovenija";111;77;34
" ";" ";"Osrednjeslovenska";461;312;149
" ";" ";"Gorenjska";169;103;66
" ";" ";"Primorsko-notranjska";36;26;10
" ";" ";"Goriška";103;63;40
" ";" ";"Obalno-kraška";54;35;19
"2006/07"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";166101;85608;80493
" ";" ";"Pomurska";9716;4916;4800
" ";" ";"Podravska";24747;12779;11968
" ";" ";"Koroška";6400;3291;3109
" ";" ";"Savinjska";22346;11610;10736
" ";" ";"Zasavska";3474;1776;1698
" ";" ";"Posavska";5788;3006;2782
" ";" ";"Jugovzhodna Slovenija";12805;6551;6254
" ";" ";"Osrednjeslovenska";42882;22155;20727
" ";" ";"Gorenjska";17630;9126;8504
" ";" ";"Primorsko-notranjska";4133;2120;2013
" ";" ";"Goriška";9689;4921;4768
" ";" ";"Obalno-kraška";6491;3357;3134
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";164477;84567;79910
" ";" ";"Pomurska";9614;4852;4762
" ";" ";"Podravska";24482;12611;11871
" ";" ";"Koroška";6344;3253;3091
" ";" ";"Savinjska";22131;11477;10654
" ";" ";"Zasavska";3415;1738;1677
" ";" ";"Posavska";5738;2977;2761
" ";" ";"Jugovzhodna Slovenija";12704;6481;6223
" ";" ";"Osrednjeslovenska";42426;21846;20580
" ";" ";"Gorenjska";17478;9040;8438
" ";" ";"Primorsko-notranjska";4102;2095;2007
" ";" ";"Goriška";9600;4871;4729
" ";" ";"Obalno-kraška";6443;3326;3117
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1624;1041;583
" ";" ";"Pomurska";102;64;38
" ";" ";"Podravska";265;168;97
" ";" ";"Koroška";56;38;18
" ";" ";"Savinjska";215;133;82
" ";" ";"Zasavska";59;38;21
" ";" ";"Posavska";50;29;21
" ";" ";"Jugovzhodna Slovenija";101;70;31
" ";" ";"Osrednjeslovenska";456;309;147
" ";" ";"Gorenjska";152;86;66
" ";" ";"Primorsko-notranjska";31;25;6
" ";" ";"Goriška";89;50;39
" ";" ";"Obalno-kraška";48;31;17
"2007/08"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";164768;84945;79823
" ";" ";"Pomurska";9453;4773;4680
" ";" ";"Podravska";24353;12567;11786
" ";" ";"Koroška";6281;3219;3062
" ";" ";"Savinjska";22074;11427;10647
" ";" ";"Zasavska";3400;1729;1671
" ";" ";"Posavska";5736;2969;2767
" ";" ";"Jugovzhodna Slovenija";12642;6416;6226
" ";" ";"Osrednjeslovenska";42525;22046;20479
" ";" ";"Gorenjska";17416;9027;8389
" ";" ";"Primorsko-notranjska";4137;2120;2017
" ";" ";"Goriška";9545;4912;4633
" ";" ";"Obalno-kraška";7206;3740;3466
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";163208;83940;79268
" ";" ";"Pomurska";9351;4708;4643
" ";" ";"Podravska";24088;12398;11690
" ";" ";"Koroška";6234;3187;3047
" ";" ";"Savinjska";21867;11298;10569
" ";" ";"Zasavska";3356;1703;1653
" ";" ";"Posavska";5691;2940;2751
" ";" ";"Jugovzhodna Slovenija";12542;6352;6190
" ";" ";"Osrednjeslovenska";42074;21743;20331
" ";" ";"Gorenjska";17286;8951;8335
" ";" ";"Primorsko-notranjska";4110;2099;2011
" ";" ";"Goriška";9453;4858;4595
" ";" ";"Obalno-kraška";7156;3703;3453
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1560;1005;555
" ";" ";"Pomurska";102;65;37
" ";" ";"Podravska";265;169;96
" ";" ";"Koroška";47;32;15
" ";" ";"Savinjska";207;129;78
" ";" ";"Zasavska";44;26;18
" ";" ";"Posavska";45;29;16
" ";" ";"Jugovzhodna Slovenija";100;64;36
" ";" ";"Osrednjeslovenska";451;303;148
" ";" ";"Gorenjska";130;76;54
" ";" ";"Primorsko-notranjska";27;21;6
" ";" ";"Goriška";92;54;38
" ";" ";"Obalno-kraška";50;37;13
"2008/09"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";163458;84233;79225
" ";" ";"Pomurska";9202;4669;4533
" ";" ";"Podravska";24187;12515;11672
" ";" ";"Koroška";6145;3136;3009
" ";" ";"Savinjska";21870;11279;10591
" ";" ";"Zasavska";3274;1694;1580
" ";" ";"Posavska";5683;2989;2694
" ";" ";"Jugovzhodna Slovenija";12358;6306;6052
" ";" ";"Osrednjeslovenska";42575;22018;20557
" ";" ";"Gorenjska";17394;9007;8387
" ";" ";"Primorsko-notranjska";4095;2094;2001
" ";" ";"Goriška";9396;4764;4632
" ";" ";"Obalno-kraška";7279;3762;3517
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";161887;83242;78645
" ";" ";"Pomurska";9101;4609;4492
" ";" ";"Podravska";23937;12358;11579
" ";" ";"Koroška";6089;3099;2990
" ";" ";"Savinjska";21656;11152;10504
" ";" ";"Zasavska";3225;1662;1563
" ";" ";"Posavska";5636;2952;2684
" ";" ";"Jugovzhodna Slovenija";12246;6233;6013
" ";" ";"Osrednjeslovenska";42151;21746;20405
" ";" ";"Gorenjska";17266;8935;8331
" ";" ";"Primorsko-notranjska";4054;2064;1990
" ";" ";"Goriška";9303;4711;4592
" ";" ";"Obalno-kraška";7223;3721;3502
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1571;991;580
" ";" ";"Pomurska";101;60;41
" ";" ";"Podravska";250;157;93
" ";" ";"Koroška";56;37;19
" ";" ";"Savinjska";214;127;87
" ";" ";"Zasavska";49;32;17
" ";" ";"Posavska";47;37;10
" ";" ";"Jugovzhodna Slovenija";112;73;39
" ";" ";"Osrednjeslovenska";424;272;152
" ";" ";"Gorenjska";128;72;56
" ";" ";"Primorsko-notranjska";41;30;11
" ";" ";"Goriška";93;53;40
" ";" ";"Obalno-kraška";56;41;15
"2009/10"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";161805;83441;78364
" ";" ";"Pomurska";9095;4577;4518
" ";" ";"Podravska";23881;12348;11533
" ";" ";"Koroška";6038;3031;3007
" ";" ";"Savinjska";21539;11088;10451
" ";" ";"Zasavska";3214;1662;1552
" ";" ";"Posavska";5594;2941;2653
" ";" ";"Jugovzhodna Slovenija";12111;6168;5943
" ";" ";"Osrednjeslovenska";42549;22134;20415
" ";" ";"Gorenjska";17176;8901;8275
" ";" ";"Primorsko-notranjska";4081;2079;2002
" ";" ";"Goriška";9205;4718;4487
" ";" ";"Obalno-kraška";7322;3794;3528
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";160252;82457;77795
" ";" ";"Pomurska";9014;4527;4487
" ";" ";"Podravska";23640;12198;11442
" ";" ";"Koroška";5983;2997;2986
" ";" ";"Savinjska";21336;10966;10370
" ";" ";"Zasavska";3163;1633;1530
" ";" ";"Posavska";5547;2905;2642
" ";" ";"Jugovzhodna Slovenija";12003;6097;5906
" ";" ";"Osrednjeslovenska";42108;21835;20273
" ";" ";"Gorenjska";17046;8830;8216
" ";" ";"Primorsko-notranjska";4040;2056;1984
" ";" ";"Goriška";9106;4660;4446
" ";" ";"Obalno-kraška";7266;3753;3513
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1553;984;569
" ";" ";"Pomurska";81;50;31
" ";" ";"Podravska";241;150;91
" ";" ";"Koroška";55;34;21
" ";" ";"Savinjska";203;122;81
" ";" ";"Zasavska";51;29;22
" ";" ";"Posavska";47;36;11
" ";" ";"Jugovzhodna Slovenija";108;71;37
" ";" ";"Osrednjeslovenska";441;299;142
" ";" ";"Gorenjska";130;71;59
" ";" ";"Primorsko-notranjska";41;23;18
" ";" ";"Goriška";99;58;41
" ";" ";"Obalno-kraška";56;41;15
"2010/11"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";161046;82934;78112
" ";" ";"Pomurska";8967;4535;4432
" ";" ";"Podravska";23624;12170;11454
" ";" ";"Koroška";5968;2992;2976
" ";" ";"Savinjska";21386;10981;10405
" ";" ";"Zasavska";3148;1642;1506
" ";" ";"Posavska";5573;2889;2684
" ";" ";"Jugovzhodna Slovenija";11971;6103;5868
" ";" ";"Osrednjeslovenska";42596;22146;20450
" ";" ";"Gorenjska";17147;8871;8276
" ";" ";"Primorsko-notranjska";4079;2062;2017
" ";" ";"Goriška";9150;4686;4464
" ";" ";"Obalno-kraška";7437;3857;3580
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";159508;81956;77552
" ";" ";"Pomurska";8881;4481;4400
" ";" ";"Podravska";23367;12008;11359
" ";" ";"Koroška";5913;2956;2957
" ";" ";"Savinjska";21178;10858;10320
" ";" ";"Zasavska";3100;1616;1484
" ";" ";"Posavska";5524;2852;2672
" ";" ";"Jugovzhodna Slovenija";11861;6033;5828
" ";" ";"Osrednjeslovenska";42188;21863;20325
" ";" ";"Gorenjska";17025;8804;8221
" ";" ";"Primorsko-notranjska";4032;2034;1998
" ";" ";"Goriška";9058;4634;4424
" ";" ";"Obalno-kraška";7381;3817;3564
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1538;978;560
" ";" ";"Pomurska";86;54;32
" ";" ";"Podravska";257;162;95
" ";" ";"Koroška";55;36;19
" ";" ";"Savinjska";208;123;85
" ";" ";"Zasavska";48;26;22
" ";" ";"Posavska";49;37;12
" ";" ";"Jugovzhodna Slovenija";110;70;40
" ";" ";"Osrednjeslovenska";408;283;125
" ";" ";"Gorenjska";122;67;55
" ";" ";"Primorsko-notranjska";47;28;19
" ";" ";"Goriška";92;52;40
" ";" ";"Obalno-kraška";56;40;16
"2011/12"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";161357;83009;78348
" ";" ";"Pomurska";8811;4408;4403
" ";" ";"Podravska";23507;12079;11428
" ";" ";"Koroška";5893;2975;2918
" ";" ";"Savinjska";21418;11038;10380
" ";" ";"Zasavska";3106;1608;1498
